iso_code,continent,location,date,new_cases
VNM,Asia,Vietnam,2021/2/21,15
VNM,Asia,Vietnam,2021/2/22,9
VNM,Asia,Vietnam,2021/2/23,11
VNM,Asia,Vietnam,2021/2/24,9
VNM,Asia,Vietnam,2021/2/25,9
VNM,Asia,Vietnam,2021/2/26,5
VNM,Asia,Vietnam,2021/2/27,6
VNM,Asia,Vietnam,2021/2/28,16
VNM,Asia,Vietnam,2021/3/1,0
VNM,Asia,Vietnam,2021/3/2,27
VNM,Asia,Vietnam,2021/3/3,7
VNM,Asia,Vietnam,2021/3/4,6
VNM,Asia,Vietnam,2021/3/5,6
VNM,Asia,Vietnam,2021/3/6,7
VNM,Asia,Vietnam,2021/3/7,11
VNM,Asia,Vietnam,2021/3/8,12
VNM,Asia,Vietnam,2021/3/9,2
VNM,Asia,Vietnam,2021/3/10,3
VNM,Asia,Vietnam,2021/3/11,4
VNM,Asia,Vietnam,2021/3/12,17
VNM,Asia,Vietnam,2021/3/13,3
VNM,Asia,Vietnam,2021/3/14,1
VNM,Asia,Vietnam,2021/3/15,3
VNM,Asia,Vietnam,2021/3/16,3
VNM,Asia,Vietnam,2021/3/17,7
VNM,Asia,Vietnam,2021/3/18,3
VNM,Asia,Vietnam,2021/3/19,1
VNM,Asia,Vietnam,2021/3/20,1
VNM,Asia,Vietnam,2021/3/21,0
VNM,Asia,Vietnam,2021/3/22,3
VNM,Asia,Vietnam,2021/3/23,0
VNM,Asia,Vietnam,2021/3/24,1
VNM,Asia,Vietnam,2021/3/25,3
VNM,Asia,Vietnam,2021/3/26,7
VNM,Asia,Vietnam,2021/3/27,0
VNM,Asia,Vietnam,2021/3/28,5
VNM,Asia,Vietnam,2021/3/29,3
VNM,Asia,Vietnam,2021/3/30,0
VNM,Asia,Vietnam,2021/3/31,9
VNM,Asia,Vietnam,2021/4/1,14
VNM,Asia,Vietnam,2021/4/2,3
VNM,Asia,Vietnam,2021/4/3,6
VNM,Asia,Vietnam,2021/4/4,5
VNM,Asia,Vietnam,2021/4/5,6
VNM,Asia,Vietnam,2021/4/6,11
VNM,Asia,Vietnam,2021/4/7,11
VNM,Asia,Vietnam,2021/4/8,9
VNM,Asia,Vietnam,2021/4/9,15
VNM,Asia,Vietnam,2021/4/10,9
VNM,Asia,Vietnam,2021/4/11,1
VNM,Asia,Vietnam,2021/4/12,12
VNM,Asia,Vietnam,2021/4/13,9
VNM,Asia,Vietnam,2021/4/14,19
VNM,Asia,Vietnam,2021/4/15,25
VNM,Asia,Vietnam,2021/4/16,14
VNM,Asia,Vietnam,2021/4/17,9
VNM,Asia,Vietnam,2021/4/18,4
VNM,Asia,Vietnam,2021/4/19,6
VNM,Asia,Vietnam,2021/4/20,9
VNM,Asia,Vietnam,2021/4/21,12
VNM,Asia,Vietnam,2021/4/22,12
VNM,Asia,Vietnam,2021/4/23,6
VNM,Asia,Vietnam,2021/4/24,3
VNM,Asia,Vietnam,2021/4/25,10
VNM,Asia,Vietnam,2021/4/26,9
VNM,Asia,Vietnam,2021/4/27,5
VNM,Asia,Vietnam,2021/4/28,8
VNM,Asia,Vietnam,2021/4/29,45
VNM,Asia,Vietnam,2021/4/30,18
VNM,Asia,Vietnam,2021/5/1,14
VNM,Asia,Vietnam,2021/5/2,20
VNM,Asia,Vietnam,2021/5/3,23
VNM,Asia,Vietnam,2021/5/4,10
VNM,Asia,Vietnam,2021/5/5,35
VNM,Asia,Vietnam,2021/5/6,60
VNM,Asia,Vietnam,2021/5/7,47
VNM,Asia,Vietnam,2021/5/8,108
VNM,Asia,Vietnam,2021/5/9,167
VNM,Asia,Vietnam,2021/5/10,77
VNM,Asia,Vietnam,2021/5/11,82
